cam,date,elev,lat,lon,Deployment name,Deployment ID
SP02,2/26/2019,398,6.20256,116.75111,SP02,d62204
SP26,2/26/2019,449,6.20311,116.7488,SP26,d62205
SP27,2/26/2019,515,6.20254,116.74586,No data,
SP09,2/26/2019,507,6.20256,116.74435,No data,
SP08,2/26/2019,566,6.20579,116.73836,SP08,d62208
SP12,2/26/2019,613,6.20906,116.73477,No data,
SP01,2/26/2019,646,6.21024,116.73301,No data,
SP15,2/26/2019,731,6.21252,116.72778,SP15,d62211
SP25,2/26/2019,767,6.21234,116.72459,SP25,d62212
SP24,2/26/2019,823,6.21257,116.72233,SP24,d62213
SP17,2/26/2019,882,6.2128,116.7204,SP17,d62214
SP14,2/27/2019,837,6.21603,116.71014,SP14,d62215
SP07,2/28/2019,932,6.21163,116.70067,No data,
SP40,2/28/2019,1032,6.2111,116.69838,No data,
SP41,2/28/2019,1111,6.21115,116.69662,SP41,d62218
SP23,2/28/2019,1179,6.2114,116.69426,SP23,d62219
SP11,2/28/2019,1243,6.21251,116.69231,SP11,d62220
SP43,2/28/2019,1319,6.21236,116.68984,SP43,d62221
SP42,2/28/2019,1400,6.21252,116.68752,SP42,d62222
SP13,2/28/2019,1452,6.21265,116.68523,No data,
SP30,2/28/2019,1415,6.21193,116.68289,No data,
SP18,2/28/2019,1462,6.21158,116.68051,SP18,d62225
SP46,2/28/2019,1536,6.21121,116.67914,No data,
SP28,2/28/2019,1606,6.2103,116.67728,SP28,d62227
SP29,2/28/2019,1664,6.2094,116.67552,SP29,d62228
SP06,2/28/2019,1747,6.20883,116.67461,SP06,d62229
SP04,2/28/2019,1807,6.20831,116.67342,SP04,d62230
SP21,2/28/2019,1918,6.2072,116.67193,SP21,d62231
SP16,3/1/2019,774,6.2134,116.71694,SP16,d62232
