Site,Deployment.ID,WI_Deployment.ID,Camera.ID_writtenByBill,Score,Note
SABAH,d48018,SP01_d48018,SP01,1,
SABAH,d48019,SP02_d48019,SP02,1,
SABAH,d62204,SP02_d62204,SP02,1,
SABAH,d48020,SP04_d48020,SP04,1,
SABAH,d62230,SP04_d62230,SP04,1,
SABAH,d48021,SP06_d48021,SP06,1,
SABAH,d62229,SP06_d62229,SP06,1,
SABAH,d48023,SP08_d48023,SP08- 48023,2,
SABAH,d62208,SP08_d62208,SP08 - 62208,1,
SABAH,d48024,SP09_d48024,SP09,2,
SABAH,d48025,SP10_d48025,SP10,2,
SABAH,d62220,SP11_d62220,SP11,4,drop
SABAH,d48028,SP13_d48028,SP13,2,
SABAH,d48029,SP14_d48029,SP14 -48029,3,
SABAH,d62215,SP14_d62215,SP14 - 2215,1,
SABAH,d48030,SP15_d48030,SP15 - 48030,1,
SABAH,d62211,SP15_d62211,SP15 - 62211,1,
SABAH,d48031,SP16_d48031,SP16 - 48031,2,
SABAH,d62232,SP16_d62232,SP16 - 62232,2,
SABAH,d48032,SP17_d48032,SP17 - 48032,1,
SABAH,d62214,SP17_d62214,SP17-62214,1,
SABAH,d48033,SP18_d48033,SP18 - 48033,1,
SABAH,d62225,SP18_d62225,SP18 - 62225,2,
SABAH,d48034,SP19_d48034,SP19 ,2,
SABAH,d48035,SP21_d48035,SP21 - 48035,2,
SABAH,d62231,SP21_d62231,SP21 - 62231,3,
SABAH,d48036,SP22_d48036,SP22,2,
SABAH,d48037,SP23_d48037,SP23 - 48037,2,
SABAH,d62219,SP23_d62219,SP23 - 62219,1,
SABAH,d48038,SP24_d48038,SP24  - 48038,2,
SABAH,d62213,SP24_d62213,SP24 - 62213,1,
SABAH,d62212,SP25_d62212,SP25,1,
SABAH,d62205,SP26_d62205,SP26,1,
SABAH,d48042,SP28_d48042,SP28 - 48042,2,
SABAH,d62227,SP28_d62227,SP28 - 62227,2,
SABAH,d62228,SP29_d62228,SP29,3,
SABAH,d48044,SP30_d48044,SP30,1,
SABAH,d51728,SP31_d51728,SP31,2,
SABAH,d51729,SP32_d51729,SP32,1,
SABAH,d51730,SP33_d51730,SP33,2,
SABAH,d51723,SP34_d51723,SP34,1,
SABAH,d51731,SP35_d51731,SP35,3,
SABAH,d51732,SP36_d51732,SP36,1,
SABAH,d51724,SP37_d51724,SP37,2,
SABAH,d51725,SP38_d51725,SP38,1,
SABAH,d51726,SP39_d51726,SP39,1,
SABAH,d51733,SP40_d51733,SP40,3,
SABAH,d51734,SP41_d51734,SP41 - 51734,4,drop
SABAH,d62218,SP41_d62218,SP41 - 62218,1,
SABAH,d51735,SP42_d51735,SP42,3,
SABAH,d62222,SP42_d62222,SP42,3,
SABAH,d62221,SP43_d62221,SP43,1,
SABAH,d51737,SP46_d51737,SP46,2,
SABAH,d51720,SP47_d51720,SP47,2,
SABAH,d51721,SP48_d51721,SP48,1,
LEWS,d66436,T00_jan_20_d66436,T00,1,1 is open and 3 is not
LEWS,d66437,T01_jan_20_d66437,T01,1,
LEWS,d72068,T01_july_20_d72068,T01,1,
LEWS,d68240,T01_mar_20_d68240,T01,1,
LEWS,d74276,T01_oct_20_d74276,T01,1,
LEWS,d66438,T02_jan_20_d66438,T02,1,
LEWS,d72069,T02_july_20_d72069,T02,1,
LEWS,d68241,T02_mar_20_d68241,T02,1,
LEWS,d74277,T02_oct_20_d74277,T02,1,
LEWS,d66439,T03_jan_20_d66439,T03,1,
LEWS,d72070,T03_july_20_d72070,T03,1,
LEWS,d68242,T03_mar_20_d68242,T03,1,
LEWS,d74278,T03_oct_20_d74278,T03,1,
LEWS,d66440,T04_jan_20_d66440,T04,1,
LEWS,d68243,T04_mar_20_d68243,T04,1,
LEWS,d74279,T04_oct_20_d74279,T04,1,
LEWS,d66305,T05_jan_20_d66305,T05,1,
LEWS,d72072,T05_july_20_d72072,T05,1,
LEWS,d68244,T05_mar_20_d68244,T05,1,
LEWS,d74280,T05_oct_20_d74280,T05,1,
LEWS,d66306,T06_jan_20_d66306,T06,1,
LEWS,d72073,T06_july_20_d72073,T06,1,
LEWS,d68245,T06_mar_20_d68245,T06,1,
LEWS,d66307,T07_jan_20_d66307,T07,1,
LEWS,d68246,T07_mar_20_d68246,T07,1,
LEWS,d74282,T07_oct_20_d74282,T07,1,
LEWS,d66308,T08_jan_20_d66308,T08,1,
LEWS,d72075,T08_july_20_d72075,T08,1,
LEWS,d68247,T08_mar_20_d68247,T08,1,
LEWS,d74283,T08_oct_20_d74283,T08,1,
LEWS,d66309,T09_jan_20_d66309,T09,1,
LEWS,d72076,T09_july_20_d72076,T09,1,
LEWS,d68248,T09_mar_20_d68248,T09,1,
LEWS,d66310,T10_jan_20_d66310,T10,1,
LEWS,d72077,T10_july_20_d72077,T10,1,
LEWS,d74285,T10_oct_20_d74285,T10,1,
LEWS,d66311,T11_jan_20_d66311,T11,2,
LEWS,d72078,T11_july_20_d72078,T11,2,
LEWS,d68250,T11_mar_20_d68250,T11,2,
LEWS,d66312,T12_jan_20_d66312,T12,1,
LEWS,d72079,T12_july_20_d72079,T12,1,
LEWS,d68251,T12_mar_20_d68251,T12,1,
LEWS,d74287,T12_oct_20_d74287,T12,1,
LEWS,d66313,T13_jan_20_d66313,T13,2,
LEWS,d72080,T13_july_20_d72080,T13,2,
LEWS,d68252,T13_mar_20_d68252,T13,2,
LEWS,d74288,T13_oct_20_d74288,T13,2,
LEWS,d66314,T14_jan_20_d66314,T14,1,
LEWS,d72081,T14_july_20_d72081,T14,1,
LEWS,d68253,T14_mar_20_d68253,T14,1,
LEWS,d74289,T14_oct_20_d74289,T14,1,
LEWS,d66315,T15_jan_20_d66315,T15,2,
LEWS,d72082,T15_july_20_d72082,T15,2,
LEWS,d68254,T15_mar_20_d68254,T15,2,
LEWS,d74290,T15_oct_20_d74290,T15,2,
LEWS,d66316,T16_jan_20_d66316,T16,1,
LEWS,d72083,T16_july_20_d72083,T16,1,
LEWS,d68255,T16_mar_20_d68255,T16,1,
LEWS,d74291,T16_oct_20_d74291,T16,1,
LEWS,d66317,T17_jan_20_d66317,T17,1,
LEWS,d72084,T17_july_20_d72084,T17,1,
LEWS,d68256,T17_mar_20_d68256,T17,1,
LEWS,d74292,T17_oct_20_d74292,T17,1,
LEWS,d68257,T18_mar_20_d68257,T18,1,
LEWS,d74293,T18_oct_20_d74293,T18,1,
LEWS,d72086,T19_july_20_d72086,T19,1,
LEWS,d68258,T19_mar_20_d68258,T19,1,
LEWS,d74294,T19_oct_20_d74294,T19,1,
LEWS,d66318,T20_jan_20_d66318,T20,1,
LEWS,d72087,T20_july_20_d72087,T20,1,
LEWS,d68259,T20_mar_20_d68259,T20,1,
LEWS,d74295,T20_oct_20_d74295,T20,1,
LEWS,d66319,T21_jan_20_d66319,T21,2,
LEWS,d72088,T21_july_20_d72088,T21,2,
LEWS,d68260,T21_mar_20_d68260,T21,2,
LEWS,d74296,T21_oct_20_d74296,T21,2,
LEWS,d66320,T22_jan_20_d66320,T22,2,
LEWS,d72089,T22_july_20_d72089,T22,2,
LEWS,d68261,T22_mar_20_d68261,T22,2,
LEWS,d74297,T22_oct_20_d74297,T22,2,
LEWS,d66321,T23_jan_20_d66321,T23,1,
LEWS,d72090,T23_july_20_d72090,T23,1,
LEWS,d68262,T23_mar_20_d68262,T23,1,
LEWS,d74298,T23_oct_20_d74298,T23,1,
LEWS,d66322,T24_jan_20_d66322,T24,1,
LEWS,d72091,T24_july_20_d72091,T24,1,
LEWS,d68263,T24_mar_20_d68263,T24,1,
LEWS,d74299,T24_oct_20_d74299,T24,1,
LEWS,d66323,T25_jan_20_d66323,T25,2,
LEWS,d72092,T25_july_20_d72092,T25,2,
LEWS,d68264,T25_mar_20_d68264,T25,2,
LEWS,d74300,T25_oct_20_d74300,T25,2,
LEWS,d66324,T26_jan_20_d66324,T26,2,
LEWS,d68265,T26_mar_20_d68265,T26,2,
LEWS,d74301,T26_oct_20_d74301,T26,2,
LEWS,d66325,T27_jan_20_d66325,T27,1,
LEWS,d72094,T27_july_20_d72094,T27,1,
LEWS,d68266,T27_mar_20_d68266,T27,1,
LEWS,d74302,T27_oct_20_d74302,T27,1,
LEWS,d66326,T28_jan_20_d66326,T28,2,
LEWS,d72095,T28_july_20_d72095,T28,2,
LEWS,d68267,T28_mar_20_d68267,T28,2,
LEWS,d74303,T28_oct_20_d74303,T28,2,
LEWS,d66327,T29_jan_20_d66327,T29,1,
LEWS,d72096,T29_july_20_d72096,T29,1,
LEWS,d68268,T29_mar_20_d68268,T29,1,
LEWS,d66328,T30_jan_20_d66328,T30,2,
LEWS,d72097,T30_july_20_d72097,T30,2,
LEWS,d68269,T30_mar_20_d68269,T30,2,
LEWS,d74305,T30_oct_20_d74305,T30,2,
LEWS,d66329,T31_jan_20_d66329,T31,1,
LEWS,d68270,T31_mar_20_d68270,T31,1,
LEWS,d66330,T32_jan_20_d66330,T32,1,
LEWS,d72099,T32_july_20_d72099,T32,1,
LEWS,d68271,T32_mar_20_d68271,T32,1,
LEWS,d74307,T32_oct_20_d74307,T32,1,
LEWS,d66331,T33_jan_20_d66331,T33,1,
LEWS,d72100,T33_july_20_d72100,T33,1,
LEWS,d68272,T33_mar_20_d68272,T33,1,
LEWS,d74308,T33_oct_20_d74308,T33,1,
LEWS,d66332,T34_jan_20_d66332,T34,1,
LEWS,d72101,T34_july_20_d72101,T34,1,
LEWS,d68273,T34_mar_20_d68273,T34,1,
LEWS,d74309,T34_oct_20_d74309,T34,1,
LEWS,d72102,T35_july_20_d72102,T35,1,
LEWS,d68274,T35_mar_20_d68274,T35,1,
LEWS,d74232,T35_oct_20_d74232,T35,1,
LEWS,d72103,T36_july_20_d72103,T36,1,
LEWS,d68275,T36_mar_20_d68275,T36,1,
LEWS,d74310,T36_oct_20_d74310,T36,1,
LEWS,d72104,T37_july_20_d72104,T37,1,
LEWS,d68276,T37_mar_20_d68276,T37,1,
LEWS,d74311,T37_oct_20_d74311,T37,1,
LEWS,d72105,T38_july_20_d72105,T38,2,knocked to 3 on 2020-08-13  (repositioneed for the October session - d74311)
LEWS,d74312,T38_oct_20_d74312,T38,2,
LEWS,d67678,CF37_Jul20_d67678,CF37,1,
LEWS,d71488,CF37_Oct20_d71488,CF37,1,
LEWS,d74229,CF37_Dec21_d74229,CF37,1,
LEWS,d67680,CF39_Jul20_d67680,CF39,1,
LEWS,d71490,CF39_Oct20_d71490,CF39,1,
LEWS,d74231,CF39_Dec21_d74231,CF39,1,
