Scientific,MSWFamilyLatin,Herbivore_score,Nocturnal,CrepuscularDiurnal,BodyMass
Arctictis binturong,Viverridae,50,1,0,9875
Catopuma badia,Felidae,0,1,0,2500
Rusa unicolor,Cervidae,100,1,1,165016
Diplogale hosei,Viverridae,0,1,0,3125
Pardofelis marmorata,Felidae,0,1,0,2854
Helarctos malayanus,Ursidae,30,1,0,46500
Hemigalus derbyanus,Viverridae,0,1,0,2323
Herpestes brachyurus,Herpestidae,10,1,1,1854
Herpestes semitorquatus,Herpestidae,10,1,1,1916
Hystrix brachyura,Hystricidae,100,1,0,8450
Hystrix crassispinis,Hystricidae,100,1,0,5445
Leopoldamys sabanus,Muridae,50,1,0,338
Macaca fascicularis,Cercopithecidae,50,0,1,3992
Macaca nemestrina,Cercopithecidae,90,0,1,6297
Manis javanica,Manidae,0,1,0,5150
Martes flavigula,Mustelidae,10,0,1,1843
Muntiacus atherodes,Cervidae,100,1,1,15600
Muntiacus muntjak,Cervidae,100,1,1,15926
Neofelis diardi,Felidae,0,0,1,19676
Paguma larvata,Viverridae,20,1,0,4300
Pongo pygmaeus,Hominidae,80,0,1,37000
Presbytis rubicunda,Cercopithecidae,100,0,1,6300
Prionailurus bengalensis,Felidae,0,1,1,3300
Prionodon linsang,Viverridae,0,1,0,700
Rheithrosciurus macrotis,Sciuridae,100,0,1,1225
Sundasciurus hippurus,Sciuridae,90,0,1,406
Sus barbatus,Suidae,70,1,1,96667
Tragulus napu,Tragulidae,100,1,0,4950
Tragulus kanchil,Tragulidae,100,1,0,3706
Trichys fasciculata,Hystricidae,100,1,0,1655
Tupaia dorsalis,Tupaiidae,10,0,1,265
Viverra tangalunga,Viverridae,20,1,1,6885
Rollulus rouloul,Phasianid,60,0,1,216
Lophura bulweri,Phasianid,30,0,1,1245
Argusianus argus,Phasianid,80,0,1,1960
Moonrat,,,,,
Crested Fireback,,,,,
Silvery Lutung,,,,,
Common Water Monitor,,,,,
Horsfield’s Tarsier,,,,,
Red-breasted Partridge,,,,,
Plantain Squirrel,,,,,
Malay Weasel,,,,,
Bornean Ferret Badger,,,,,
Crimson-headed Partridge,,,,,
Bornean Peacock-pheasant,,,,,
Prevost's Squirrel,,,,,
Three-striped Ground Squirrel,,,,,
Common Giant Flying Squirrel,,,,,
Mountain Treeshrew,,,,,
Hose’s Langur,,,,,
Asian Small-clawed Otter,,,,,
Müller's Bornean Gibbon,,,,,
White-fronted Langur,,,,,
Small-toothed Palm Civet,,,,,
Crestless Fireback,,,,,
Pale Giant Squirrel,,,,,
